GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METHOD_USED,TOTAL_WATER_USE,WST_EXPLANATION,WST_GROUNDWATER,WST_OTHER,WST_RECYCLED_WATER,WST_REUSED_WATER,WST_SURFACE_WATER,WUS_AGRICULTURAL,WUS_EXPLANATION,WUS_INDUSTRIAL,WUS_MANAGED_RECHARGE,WUS_MANAGED_WETLANDS,WUS_NATIVE_VEGETATION,WUS_OTHER,WUS_URBAN
,111,2017,BORREGO SPRINGS,7-024.01,Single Annual Report,Entire Basin,Only supply is groundwater. Used same method as used to calculate groundwater use.,18369,,18369,0,0,0,0,0,,0,0,0,0,0,0
,135,2017,COASTAL PLAIN OF ORANGE COUNTY,8-001,Single Annual Report,Entire Basin,"metered (475003 AF), estimated (1000 AF)",476003,,277558,0,17133,0,181312,0,,0,0,0,0,0,476003
,106,2017,INDIO,7-021.01,Single Annual Report,Entire Basin,"99% metered, 1% estimated",868401,Colorado River Water,266247,589529,10724,0,1901,297227,Other category refers to the unmetered groundwater pumping for domestic uses. Includes only water use in the Subbasin.,1419,0,0,0,1500,263023
,92,2017,LIVERMORE VALLEY,2-010,Single Annual Report,Entire Basin,"Sum of groundwater, surface water, and recycled water.",48930,,10363,0,6241,0,32326,4549,,0,9615,0,0,0,44383
,108,2017,LLAGAS AREA,3-003.01,Single Annual Report,Entire Basin,Metered (most use) or estimated using table of average uses or crop factors (estimated groundwater use). The distribution of 1800 AF of recycled water in the various water use sectors is based on the distribution ratio from 2020 data. Note - Industrial use for all water sources except recycled water is grouped with municipal use under Urban water use sector because we don't have data to distinguish between municipal and industrial use.,44000,,41100,0,1800,0,1100,23987,,873,17898,0,0,0,19140
,152,2017,MISSION CREEK,7-021.02,Single Annual Report,Entire Basin,Metered wells and estimate of unmetered well use based on population in areas outside of municipal water service areas. Imported surface water used for groundwater replenishment metered Colorado River Aqueduct Water.,16039,Imported Groundwater from Adjacent Subbasins,13782,309,0,0,1948,614,Undetermined but estimated to be mostly urban use by minimal pumpers who are not required to report producton to Coachella Valley Water District  (<25 AFY) or to Desert Water Agency (<10 AFY).,261,0,0,0,500,12716
,94,2017,NILES CONE,2-009.01,Single Annual Report,Entire Basin,"Water Use is metered or gaged by Agency and/or Water Source Type. ACWD sources include local surface water from the Alameda Creek Watershed (measured by stream gage), extracted groundwater (with non-ACWD wells metered through the Replenishment Assessment Program), SWP (metered), SFPUC (metered), Lake Del Valle (metered), and Semitropic Water Storage District (metered). Local surface water from the Alameda Creek Watershed, as well as some SWP and Semitropic Water Storage District water, was used for managed aquifer recharge, which is recovered as groundwater pumping and other groundwater demands. Therefore, the numerical Total Water Use (71896 AF) is not a net water supply value. Water Use by Non-ACWD Owned/Operated Wells and the City of Hayward Distribution System (via SFPUC) are also metered.",71896,"Includes water imported from the SWP (8,048 AF), SFPUC (8,125 AF), Lake Del Valle (7,848 AF), Semitropic Water Storage District (276 AF), and the City of Hayward Distribution System (via SFPUC) (1,137 AF). Note that some SWP and Semitropic Water Storage District water was used for managed aquifer recharge, which is recovered as groundwater pumping and other groundwater demands.",20693,25434,3803,0,21965,127,"""Non-Revenue Water"" (3,751 AF), ""Desal to SF Bay"" (2,958 AF), and ""ARP"" (536 AF) were added as Water Use Sectors to account for water that could not be appropriately categorized under SGMA water use sectors. ""Non-Revenue Water"" is the amount of water supplied to the ACWD distribution system less the summation of meter readings for which customers were billed. Non-Revenue Water includes non-billed consumption (fire flows, distribution system flushing, etc.) plus real and apparent losses. ""Desal to SF Bay"" is brine and brine dilution water discharged from the Desalination Facility as wastewater and discharged to San Francisco Bay. ""ARP"" is the Aquifer Reclamation Program. Groundwater classified under ""ARP"" is water extracted to improve basin water quality, but is not supplied to the Desalination Facility for potable reuse.",4806,21965,3803,0,7245,33950
,110,2017,PAJARO VALLEY,3-002.01,Single Annual Report,Entire Basin,"Total water use in the Pajaro Valley Basin during water year 2017 was 48,794 acre-feet. Surface water supply use is measured through direct measurement by flow meters that have an accuracy of +/- 1.5 % or estimated using a mass balance approach and measurement of inflows. Metered groundwater use is measured through direct measurement by flow meters that have an accuracy of +/- 5.0 %. For non-metered commercial production facilities, average annual demand is based off the adopted estimated annual water demand rates for the following land uses: residential (0.5 acre-feet per year [AFY] per dwelling unit), apple orchard (1.0 AFY per cultivated acre), greenhouse operation (4.0 AFY per cultivated acre), mushroom operation (1.5 AFY per 100 tons of mushrooms produced), golf course and other turf (3.2 AFY per acre), non-irrigated agriculture (0.0 AFY per acre), all other agriculture (2.5 AFY per cultivated acre), and all other commercial operations (1.5 AFY per 1.0 acre-feet of wastewater produced). If a non-metered commercial water production facility serves more than one land use, total annual water production of the facility shall be estimated as the sum of all such uses on the prorated basis of the indices established above. Total annual demand shall be presumed to be evenly divided between the period of January through June and the period of July through December. The annual water demand of a water production facility located on residential land and used for residential purposes only is estimated at 0.5 acre-feet per year per dwelling unit served. This demand is based on average annual water use data from rural residential water providers Aromas Water District, Central Water District, and San Andreas Mutual Water Company.",48794,The Harkins Slough Managed Aquifer Recharge and Recovery Facility diverts surface water from Harkins Slough and conveys it to a recharge basin where it percolates into the surficial aquifer of the San Andreas Terrace located near the coast. PV Water utilizes a series of wells to recover recharged water and delivers it to coastal farms through the Coastal Distribution System.,44892,281,2429,0,1192,38293,Rural Residential - Unmetered residential water users in rural settings,779,823,0,0,1459,7440
,107,2017,SANTA CLARA,2-009.02,Single Annual Report,Entire Basin,Metered (most use) or estimated using table of average uses or crop factors (estimated groundwater use). Note - Industrial use for all water sources except recycled water is grouped with municipal use under Urban water use sector. The distribution of 15000 AF of recycled water in the various water use sectors is based on the distribution ratio from 2020 data.,238500,,74200,0,15000,0,149300,3254,,6270,78871,0,0,0,228976
,123,2017,TAHOE SOUTH,6-005.01,Single Annual Report,Entire Basin,"Estimated total water produced scaled to water loss and demand estimates from 2015 STPUD Urban Water Management Plan (J. Crowley Group, 2016).",6514,,6514,0,0,0,0,0,,2708,0,0,0,0,3806
